travel_year,minor_lt16,preadult_16_17,adult_18plus,era,num_adults,num_minors,num_docs,num_docs_raw
1960,0,2,2,1,2.0,2.0,21.508042599358404,22
1953,3,2,5,0,5.0,5.0,51.515500948495024,52
1953,3,0,2,0,2.0,3.0,13.002983339654648,13
1952,4,0,2,0,2.0,4.0,10.002237504740986,10
1952,4,0,2,0,2.0,4.0,20.59986403309778,21
1956,4,0,2,1,2.0,4.0,17.022391795281653,17
1956,5,0,2,1,2.0,5.0,16.801423686376214,17
1956,5,0,2,1,2.0,5.0,22.74767332897718,23
1956,5,0,2,1,2.0,5.0,26.767081784604184,27
1952,2,0,2,0,2.0,2.0,16.967149768055293,17
1952,4,1,2,0,2.0,5.0,20.931316196455935,21
1954,5,0,2,0,2.0,5.0,17.820086307089554,18
1954,5,1,2,0,2.0,6.0,33.23481580288126,34
1954,7,0,2,0,2.0,7.0,20.82083214200322,21
1954,5,0,2,0,2.0,5.0,29.491617483386047,30
1954,2,0,2,0,2.0,2.0,18.838748927802897,19
1954,6,0,2,0,2.0,6.0,14.764098444949534,15
1954,8,0,2,0,2.0,8.0,29.43637545615969,30
1954,5,0,2,0,2.0,5.0,29.767827619517846,30
1954,1,0,2,0,2.0,1.0,19.857411548516236,20
1954,3,0,2,0,2.0,3.0,24.67451451595114,25
1964,1,0,1,1,1.0,1.0,9.946995477514628,10
1954,6,0,2,0,2.0,6.0,20.986558223682295,21
1954,5,1,2,0,2.0,6.0,31.36321664313365,32
1965,5,0,2,1,2.0,5.0,70.09670236087946,71
1965,0,0,2,1,2.0,0.0,23.655851895237802,24
1965,0,0,1,1,1.0,0.0,19.746927494063517,20
1955,0,0,2,0,2.0,0.0,18.041054415994992,18
1955,6,1,4,0,4.0,7.0,44.74062089749867,46
1955,2,0,2,0,2.0,2.0,24.95072465208294,25
1955,0,0,2,0,2.0,0.0,24.7297565431775,25
1955,6,0,2,0,2.0,6.0,35.21689901708158,36
1955,1,0,2,0,2.0,1.0,19.912653575742596,20
1952,0,0,1,0,1.0,0.0,20.434137951418702,21
1952,3,0,4,0,4.0,3.0,16.05897120179467,16
1952,3,0,2,0,2.0,3.0,7.9649122633143055,8
1952,3,0,2,0,2.0,3.0,10.910416071001608,11
1952,2,2,2,0,2.0,4.0,28.00671251422296,28
1952,4,0,2,0,2.0,4.0,10.002237504740986,10
1952,4,0,2,0,2.0,4.0,19.58120141238444,20
1952,2,0,2,0,2.0,2.0,10.965658098227967,11
1952,0,0,2,0,2.0,0.0,36.235561637794916,37
1952,8,0,2,0,2.0,8.0,17.820086307089554,18
1952,3,0,2,0,2.0,3.0,40.53118022955372,41
1952,4,0,2,0,2.0,4.0,13.911161905915272,14
1952,0,0,2,0,2.0,0.0,8.983574884027647,9
1952,4,0,2,0,2.0,4.0,36.401287719474,37
1952,1,0,2,0,2.0,1.0,10.85517404377525,11
1952,2,0,2,0,2.0,2.0,11.297110261586123,11
1952,4,0,2,0,2.0,4.0,13.96640393314163,14
1952,2,1,2,0,2.0,3.0,27.785744405317523,28
1952,4,0,2,0,2.0,4.0,15.782761065662875,16
1952,4,0,2,0,2.0,4.0,12.726773203522853,13
1953,0,0,1,0,1.0,0.0,14.653614390496816,15
1953,0,0,1,0,1.0,0.0,14.764098444949534,15
1953,0,0,2,0,2.0,0.0,17.875328334315913,18
1953,3,0,2,0,2.0,3.0,8.020154290540665,8
1953,3,0,2,0,2.0,3.0,17.820086307089554,18
1952,3,0,2,0,2.0,3.0,12.782015230749213,13
1954,2,0,2,0,2.0,2.0,25.693177136664485,26
1957,1,0,2,1,2.0,1.0,21.041800250908654,21
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1954,7,0,2,0,2.0,7.0,1.9634205934869813,2
1958,4,1,3,1,3.0,5.0,28.00671251422296,28
1953,2,1,3,0,3.0,3.0,47.44085046564166,48
1956,8,2,4,1,4.0,10.0,39.15675931484335,39
1956,3,0,2,1,2.0,3.0,21.7842527354902,22
1954,0,0,2,0,2.0,0.0,17.65436022541048,18
1954,3,0,2,0,2.0,3.0,19.58120141238444,20
1955,0,0,1,0,1.0,0.0,19.802169521289876,20
1955,5,0,2,0,2.0,5.0,20.931316196455935,21
1956,4,0,2,1,2.0,4.0,30.51028010409939,31
1958,0,0,2,1,2.0,0.0,21.508042599358404,22
1958,6,0,2,1,2.0,6.0,34.36396247804731,35
1958,0,0,1,1,1.0,0.0,16.746181659149855,17
1960,4,0,5,1,5.0,4.0,31.142248534228216,32
1952,4,0,2,0,2.0,4.0,32.65808939997879,33
1956,4,0,2,1,2.0,4.0,22.69243130175082,23
1960,6,0,2,1,2.0,6.0,33.84247810237121,34
1955,4,0,2,0,2.0,4.0,17.930570361542273,18
1955,1,1,2,0,2.0,2.0,35.54835118043973,36
1952,2,0,2,0,2.0,2.0,48.70478732589932,50
1952,0,0,1,0,1.0,0.0,16.746181659149855,17
1952,3,0,2,0,2.0,3.0,13.96640393314163,14
1955,8,0,2,0,2.0,8.0,36.1250775833422,37
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,4,0,2,0,2.0,4.0,1.9634205934869813,2
1952,0,0,1,0,1.0,0.0,8.075396317767025,8
1958,4,0,2,1,2.0,4.0,17.07763382250801,17
1959,2,0,2,1,2.0,2.0,16.05897120179467,16
1960,1,2,2,1,2.0,3.0,40.31021212064828,41
1956,0,0,2,1,2.0,0.0,47.796608759638694,49
1956,0,0,2,1,2.0,0.0,27.564776296412088,28
1955,4,2,4,0,4.0,6.0,60.57298048046237,61
1954,4,1,3,0,3.0,5.0,41.660326904719774,42
1955,2,0,2,0,2.0,2.0,16.801423686376214,17
1956,0,0,2,1,2.0,0.0,20.023137630195315,20
1956,3,0,2,1,2.0,3.0,25.74841916389084,26
1953,1,0,2,0,2.0,1.0,44.63013684304595,46
1960,2,0,2,1,2.0,2.0,31.36321664313365,32
1954,6,0,2,0,2.0,6.0,14.98506655385497,15
1954,2,0,2,0,2.0,2.0,21.7842527354902,22
1963,1,0,2,1,2.0,1.0,23.655851895237802,24
1955,1,0,2,0,2.0,1.0,26.656597730151464,27
1955,5,0,3,0,3.0,5.0,36.346045692247635,37
1952,3,0,2,0,2.0,3.0,29.602101537838767,30
1952,2,1,2,0,2.0,3.0,14.929824526628611,15
1956,5,0,2,1,2.0,5.0,16.911907740828934,17
1958,5,0,2,1,2.0,5.0,20.76559011477686,21
1957,1,1,2,1,2.0,2.0,27.50953426918573,28
1964,3,0,4,1,4.0,3.0,36.567013801153074,37
1960,4,0,1,1,1.0,4.0,24.564030461498422,25
1952,1,0,3,0,3.0,1.0,26.490871648472385,27
1961,0,0,1,1,1.0,0.0,14.874582499402251,15
1958,4,0,2,1,2.0,4.0,16.690939631923495,17
1960,0,0,1,1,1.0,0.0,19.912653575742596,20
1960,6,0,2,1,2.0,6.0,26.601355702925105,27
1958,4,0,2,1,2.0,4.0,23.023883465108977,23
1958,6,0,2,1,2.0,6.0,29.43637545615969,30
1956,4,0,2,1,2.0,4.0,16.746181659149855,17
1957,0,0,1,1,1.0,0.0,36.235561637794916,37
1957,2,0,2,1,2.0,2.0,26.711839757377824,27
1956,2,0,2,1,2.0,2.0,24.619272488724782,25
1953,2,0,2,0,2.0,2.0,16.911907740828934,17
1955,7,1,2,0,2.0,8.0,26.490871648472385,27
1955,2,0,2,0,2.0,2.0,26.656597730151464,27
1955,3,1,3,0,3.0,4.0,50.11014413719717,51
1956,3,0,2,1,2.0,3.0,21.83949476271656,22
1954,8,1,3,0,3.0,9.0,38.383370933674314,39
1955,4,0,2,0,2.0,4.0,37.088498176829184,38
1955,1,0,2,0,2.0,1.0,18.838748927802897,19
1955,1,0,2,0,2.0,1.0,32.326637236620634,33
1953,3,0,2,0,2.0,3.0,21.83949476271656,22
1952,1,0,2,0,2.0,1.0,12.039562746167668,12
1952,3,0,2,0,2.0,3.0,8.928332856801287,9
1956,0,0,1,1,1.0,0.0,15.150792635534048,15
1956,1,0,2,1,2.0,1.0,54.07431056559781,55
1960,6,0,2,1,2.0,6.0,26.546113675698745,27
1954,3,0,2,0,2.0,3.0,17.985812388768633,18
1965,5,0,2,1,2.0,5.0,29.546859510612407,30
1955,0,0,2,0,2.0,0.0,26.711839757377824,27
1955,6,1,4,0,4.0,7.0,44.274378549048926,45
1955,8,1,2,0,2.0,9.0,48.40427105912865,49
1955,3,0,2,0,2.0,3.0,35.43786712598701,36
1952,0,0,2,0,2.0,0.0,17.59911819818412,18
1952,2,0,2,0,2.0,2.0,14.819340472175893,15
1952,2,0,2,0,2.0,2.0,19.857411548516236,20
1952,0,0,1,0,1.0,0.0,14.819340472175893,15
1955,2,0,2,0,2.0,2.0,15.617034983983796,16
1957,4,0,2,1,2.0,4.0,17.820086307089554,18
1957,6,1,3,1,3.0,7.0,28.638680944351787,29
1957,0,0,1,1,1.0,0.0,16.856665713602574,17
1959,6,0,2,1,2.0,6.0,30.51028010409939,31
1952,1,0,2,0,2.0,1.0,11.929078691714949,12
1952,2,0,2,0,2.0,2.0,21.72901070826384,22
1952,0,0,1,0,1.0,0.0,10.002237504740986,10
1952,0,0,1,0,1.0,0.0,10.002237504740986,10
1952,0,0,2,0,2.0,0.0,9.836511423061909,10
1952,0,0,2,0,2.0,0.0,9.038816911254004,9
1952,3,0,2,0,2.0,3.0,20.54462200587142,21
1952,4,1,3,0,3.0,5.0,21.949978817169278,22
1958,2,1,3,1,3.0,3.0,25.527451054985406,26
1959,4,0,2,1,2.0,4.0,20.986558223682295,21
1959,0,0,2,1,2.0,0.0,20.76559011477686,21
1957,0,0,1,1,1.0,0.0,21.61852665381112,22
1960,1,0,2,1,2.0,1.0,23.76633594969052,24
1959,0,0,2,1,2.0,0.0,27.620018323638444,28
1959,0,0,1,1,1.0,0.0,15.838003092889233,16
1958,2,0,2,1,2.0,2.0,33.84247810237121,34
1958,0,0,1,1,1.0,0.0,16.911907740828934,17
1958,4,0,2,1,2.0,4.0,45.18255711530954,46
1959,2,0,2,1,2.0,2.0,21.61852665381112,22
1958,4,1,2,1,2.0,5.0,30.620764158552106,31
1958,0,0,1,1,1.0,0.0,16.746181659149855,17
1959,4,0,2,1,2.0,4.0,16.856665713602574,17
